raw_column,clean_column,multi_valid,remove_column
"[1] ""X.""                                                                                                                               ",PII_Response_ID,no,no
"  [2] ""What.is.the.name.of.your.organization.""                                                                                           ",Q01_Org_Name,no,no
"  [3] ""Where.are.your.headquarters.""                                                                                                     ",Q02_Org_Location,no,no
"  [4] ""Name""                                                                                                                             ",Q03_PII_Respondent_Name,no,no
"  [5] ""Email""                                                                                                                            ",Q04_PII_Respondent_Email,no,no
"  [6] ""Phone""                                                                                                                            ",Q05_PII_Respondent_Phone,no,no
"  [7] ""What.year.was.your.organization.founded.""                                                                                         ",Q06_Org_Year_Founded,no,no
"  [8] ""Independent.Non.Governmental.Organization..e.g..association..501.c..registered.charity....""                                       ",Q07_Org_Type_Ind_NGO,yes,no
"  [9] ""Hosted.project..e.g..in.an.NGO.or.another.entity.""                                                                                ",Q07_Org_Type_Hosted_Proj,yes,no
" [10] ""Foundation""                                                                                                                       ",Q07_Org_Type_Foundation,yes,no
" [11] ""Commercial.entity""                                                                                                                ",Q07_Org_Type_Commercial_Ent,yes,no
" [12] ""Social.enterprise..e.g..B.corp..Co.op..CIC....""                                                                                   ",Q07_Org_Type_Social_Ent,yes,no
" [13] ""Other""                                                                                                                            ",Q07_Org_Type_Other,yes,no
" [14] ""If.other..please.comment.below""                                                                                                   ",Q07_Org_Type_Open_Response,no,no
" [15] ""X0....200.000""                                                                                                                    ",Q08_Org_Revenue_0_200000,yes,no
" [16] ""X200.001...500.000""                                                                                                               ",Q08_Org_Revenue_200001_500000,yes,no
" [17] ""X500.001...2.000.000""                                                                                                             ",Q08_Org_Revenue_500001_2000000,yes,no
" [18] ""X2.000.001...5.million""                                                                                                           ",Q08_Org_Revenue_2000001_5000000,yes,no
" [19] ""X5.000.001...10.000.000""                                                                                                          ",Q08_Org_Revenue_5000001_10000000,yes,no
" [20] ""X10.000.000.""                                                                                                                     ",Q08_Org_Revenue_1000000_Plus,yes,no
" [21] ""Approximately..what.percentage.of.your.organization.s.total.revenue.was.related.to.H2H.services.in.2022..""                        ",Q09_Percent_H2H_Work_Open_Response,no,no
" [22] ""Institutional.donors""                                                                                                             ",Q10_Funding_Source_Inst_Donor,yes,no
" [23] ""Sub.grants.from.NGOs.or.UN.agencies""                                                                                              ",Q10_Funding_Source_Sub_Grant,yes,no
" [24] ""Foundations""                                                                                                                      ",Q10_Funding_Source_Foundations,yes,no
" [25] ""Membership.fees""                                                                                                                  ",Q10_Funding_Source_Membership_Fees,yes,no
" [26] ""Funds..HIF..Start.etc..""                                                                                                          ",Q10_Funding_Source_Funds,yes,no
" [27] ""Commercial.revenue""                                                                                                               ",Q10_Funding_Source_Commercial,yes,no
" [28] ""Other.1""                                                                                                                          ",Q10_Funding_Source_Other,yes,no
" [29] ""If.other..please.comment.below.1""                                                                                                 ",Q10_Funding_Source_Open_Response,no,no
" [30] ""X..Check.all.that.apply.""                                                                                                         ",Q11_Insitutional_Donors,no,no
" [31] ""If.other..please.comment.below.""                                                                                                  ",Q11_Insitutional_Donors_Open_Response,no,no
" [32] ""What.was.the.number.of.paid.employees.in.your.organization.during.2022.""                                                          ",Q12_Num_Paid_Employees_Open_Response,no,no
" [33] ""What.was.the.number.of.volunteers.in.your.organization.during.2022.""                                                              ",Q13_Num_Volunteers_Open_Response,no,no
" [34] ""None""                                                                                                                             ",Q14_Grants_Received_None,yes,no
" [35] ""X..10.00...100.000""                                                                                                               ",Q14_Grants_Received_Range_10000_100000,yes,no
" [36] ""X.100.001....250.000""                                                                                                             ",Q14_Grants_Received_Range_100001_250000,yes,no
" [37] ""X.250.001....500.000""                                                                                                             ",Q14_Grants_Received_Range_250001_500000,yes,no
" [38] ""X.500.001..""                                                                                                                      ",Q14_Grants_Received_Range_500001_Plus,yes,no
